Kolumna1,Kolumna2,Kolumna3,Kolumna4
G027977,00:00:15:00,#N/D,
G027980,00:00:25:06,#N/D,
G027981,00:00:25:03,#N/D,
G027988,00:00:30:00,#N/D,
G027991,00:00:40:00,#N/D,
G027993,00:00:40:00,#N/D,
G027995,00:00:40:00,#N/D,
G027997,00:00:25:00,#N/D,
G027998,00:00:25:00,#N/D,
G027999,00:00:25:00,#N/D,
G028004,00:00:15:00,#N/D,
G028005,00:00:30:00,#N/D,
G028009,00:00:15:00,#N/D,
G028017,00:00:25:00,#N/D,
G028018,00:00:25:00,#N/D,
G028019,00:00:25:00,#N/D,
G028020,00:00:25:00,#N/D,
G028021,00:00:25:00,#N/D,
G028022,00:00:25:00,#N/D,
G028023,00:00:15:00,#N/D,
G028039,00:00:30:00,#N/D,
G028048,00:00:10:00,#N/D,
G028049,00:00:10:00,#N/D,
G028056,00:00:15:00,#N/D,
G028057,00:00:20:00,#N/D,
G028060,00:00:19:24,#N/D,
G028061,00:00:15:00,#N/D,
G028068,00:00:40:00,#N/D,
G028069,00:00:40:00,#N/D,
G028070,00:00:40:00,#N/D,
G028071,00:00:40:00,#N/D,
G028081,00:00:30:00,#N/D,
G028082,00:00:30:00,#N/D,
G028085,00:00:30:00,#N/D,
G028086,00:00:45:00,#N/D,
G028087,00:00:25:00,#N/D,
G028088,00:00:25:00,#N/D,
G028089,00:00:45:00,#N/D,
G028090,00:00:45:00,#N/D,
G028091,00:00:25:00,#N/D,
G028092,00:00:25:00,#N/D,
G028093,00:00:45:00,#N/D,
G028120,00:00:25:00,#N/D,
G028121,00:00:25:00,#N/D,
G028122,00:00:45:00,#N/D,
G028123,00:00:25:00,#N/D,
G028124,00:00:25:00,#N/D,
G028125,00:00:45:00,#N/D,
G028128,00:00:30:00,#N/D,
G028133,00:00:12:00,#N/D,
G028134,00:00:45:00,#N/D,
G028135,00:00:25:00,#N/D,
G028138,00:00:25:00,#N/D,
G028139,00:00:45:00,#N/D,
G028140,00:00:45:00,#N/D,
G028141,00:00:25:00,#N/D,
G028142,00:00:25:00,#N/D,
G028143,00:00:45:00,#N/D,
G028144,00:00:25:00,#N/D,
G028145,00:00:25:00,#N/D,
G028146,00:00:45:00,#N/D,
G028176,00:00:15:00,#N/D,
G028177,00:00:15:00,#N/D,
G028178,00:00:15:00,#N/D,
G028179,00:00:10:00,#N/D,
G028180,00:00:10:00,#N/D,
G028181,00:00:10:00,#N/D,
G028184,00:00:45:00,#N/D,
G028185,00:00:25:00,#N/D,
G028186,00:00:25:00,#N/D,
G028214,00:00:15:00,#N/D,
G028233,00:00:25:00,#N/D,
G028235,00:00:10:00,#N/D,
G028236,00:00:10:00,#N/D,
G028238,00:00:10:00,#N/D,
G028239,00:00:20:00,#N/D,
G028240,00:00:30:00,#N/D,
G028241,00:01:00:00,#N/D,
G028242,00:00:30:00,#N/D,
G028243,00:01:29:00,#N/D,
G028248,00:01:00:00,#N/D,
G028249,00:02:00:00,#N/D,
G028250,00:03:00:00,#N/D,
G028251,00:04:00:00,#N/D,
G028252,00:01:00:00,#N/D,
G028253,00:02:00:00,#N/D,
G028254,00:03:00:00,#N/D,
G028255,00:04:00:00,#N/D,
G028337,00:00:15:00,#N/D,
G028338,00:00:25:00,#N/D,
G028343,00:00:30:11,#N/D,
G028344,00:00:34:19,#N/D,
G028345,00:00:10:00,#N/D,
G028386,00:00:30:00,#N/D,
G028392,00:00:30:00,#N/D,
G028394,00:00:35:00,#N/D,
G028407,00:00:25:00,#N/D,
G028408,00:00:50:00,#N/D,
G028409,00:00:45:00,#N/D,
G028414,00:00:25:00,#N/D,
G028415,00:00:15:00,#N/D,
G028440,00:00:15:00,#N/D,
G028444,00:00:45:00,#N/D,
G028446,00:00:45:00,#N/D,
G028451,00:00:50:00,#N/D,
G028453,00:00:45:00,#N/D,
G028455,00:00:45:00,#N/D,
G028484,00:00:20:00,#N/D,
G028503,00:00:20:00,#N/D,
G028509,00:00:25:00,#N/D,
G028510,00:00:25:00,#N/D,
G028531,00:00:15:00,#N/D,
G028532,00:00:30:00,#N/D,
G028533,00:01:00:00,#N/D,
G028548,00:00:10:00,#N/D,
G028577,00:00:30:00,#N/D,
G028578,00:00:15:00,#N/D,
G028584,00:00:15:00,#N/D,
G028585,00:00:15:00,#N/D,
G028593,00:00:29:24,#N/D,
G028594,00:00:15:01,#N/D,
G028612,00:00:35:00,#N/D,
G028613,00:00:35:00,#N/D,
G028614,00:00:10:00,#N/D,
G028615,00:00:20:00,#N/D,
G028616,00:00:30:00,#N/D,
G028629,00:00:30:01,#N/D,
G028630,00:00:15:00,#N/D,
G028631,00:00:30:18,#N/D,
G028632,00:00:30:00,#N/D,
G028633,00:00:15:03,#N/D,
G028635,00:00:15:00,#N/D,
G028636,00:00:20:00,#N/D,
G028647,00:00:15:00,#N/D,
G028648,00:00:20:00,#N/D,
G028661,00:00:40:00,#N/D,
G028662,00:00:30:00,#N/D,
G028674,00:00:10:00,#N/D,
G028675,00:00:20:00,#N/D,
G028676,00:00:30:00,#N/D,
G028677,00:00:10:00,#N/D,
G028678,00:00:15:00,#N/D,
G028681,00:00:35:00,#N/D,
G028682,00:00:35:00,#N/D,
G028691,00:00:35:00,#N/D,
G028693,00:00:35:00,#N/D,
G028695,00:00:10:00,#N/D,
G028709,00:00:20:00,#N/D,
G028710,00:00:10:00,#N/D,
G028711,00:00:20:00,#N/D,
G028718,00:00:20:00,#N/D,
G028720,00:00:10:00,#N/D,
G028741,00:00:35:00,#N/D,
G028763,00:00:30:00,#N/D,
G028788,00:00:30:00,#N/D,
G028795,00:00:30:00,#N/D,
G028796,00:00:20:00,#N/D,
G028802,00:00:30:00,#N/D,
G028806,00:00:15:00,#N/D,
G028827,00:00:15:00,#N/D,
G028828,00:00:15:00,#N/D,
G028829,00:00:15:00,#N/D,
G028832,00:00:25:00,#N/D,
G028837,00:00:30:00,#N/D,
G028838,00:00:20:00,#N/D,
G028839,00:00:10:00,#N/D,
G028840,00:00:20:00,#N/D,
G028848,00:00:20:00,#N/D,
G028870,00:00:15:00,#N/D,
G028871,00:00:15:00,#N/D,
G028896,00:00:10:00,#N/D,
G028903,00:00:10:00,#N/D,
G028904,00:00:20:00,#N/D,
G028905,00:00:10:00,#N/D,
G028906,00:00:20:00,#N/D,
G028908,00:00:25:00,#N/D,
G028913,00:00:35:00,#N/D,
G028924,00:00:25:04,#N/D,
G028925,00:00:25:00,#N/D,
G028928,00:00:25:00,#N/D,
G028929,00:00:30:00,#N/D,
G028930,00:00:30:00,#N/D,
G028988,00:00:30:00,#N/D,
G029052,00:00:15:00,#N/D,
G029055,00:00:30:00,#N/D,
G029057,00:00:10:00,#N/D,
G029059,00:00:30:00,#N/D,
G029061,00:00:25:00,#N/D,
G029066,00:00:30:00,#N/D,
G029070,00:00:10:00,#N/D,
G029071,00:00:15:00,#N/D,
G029072,00:00:15:01,#N/D,
G029073,00:00:15:01,#N/D,
G029074,00:00:15:01,#N/D,
G029075,00:00:15:01,#N/D,
G029080,00:00:45:00,#N/D,
G029089,00:00:10:00,#N/D,
G029090,00:00:20:00,#N/D,
G029091,00:00:20:00,#N/D,
G029092,00:00:30:00,#N/D,
G029098,00:00:30:00,#N/D,
G029100,00:00:30:00,#N/D,
G029104,00:00:20:00,#N/D,
G029110,00:00:15:00,#N/D,
G029118,00:00:40:00,#N/D,
G029123,00:00:30:00,#N/D,
G029125,00:00:30:00,#N/D,
G029129,00:00:10:00,#N/D,
G029130,00:00:30:00,#N/D,
G029134,00:00:30:00,#N/D,
G029143,00:00:30:23,#N/D,
G029144,00:00:31:04,#N/D,
G029145,00:00:12:01,#N/D,
G029146,00:00:25:01,#N/D,
G029147,00:00:25:00,#N/D,
G029148,00:00:25:00,#N/D,
G029153,00:00:12:00,#N/D,
G029173,00:00:12:00,#N/D,
G029174,00:00:12:00,#N/D,
G029175,00:00:12:00,#N/D,
G029179,00:00:25:00,#N/D,
G029180,00:00:25:00,#N/D,
G029181,00:00:25:00,#N/D,
G029182,00:00:30:00,#N/D,
G029183,00:00:30:00,#N/D,
G029206,00:00:17:00,#N/D,
G029207,00:00:30:00,#N/D,
G029210,00:00:22:00,#N/D,
G029211,00:00:30:00,#N/D,
G029213,00:00:30:00,#N/D,
G029216,00:00:22:00,#N/D,
G029217,00:00:30:00,#N/D,
G029231,00:00:30:00,#N/D,
G029252,00:00:15:01,#N/D,
G029253,00:01:27:01,#N/D,
G029257,00:00:30:00,#N/D,
G029258,00:00:30:00,#N/D,
G029267,00:00:25:00,#N/D,
G029269,00:00:25:00,#N/D,
G029275,00:00:25:00,#N/D,
G029276,00:00:20:00,#N/D,
G029277,00:00:20:00,#N/D,
G029278,00:00:36:00,#N/D,
G029279,00:00:15:00,#N/D,
G029280,00:00:15:00,#N/D,
G029281,00:00:15:00,#N/D,
G029282,00:00:15:00,#N/D,
G029283,00:00:15:00,#N/D,
G029284,00:00:15:00,#N/D,
G029285,00:00:30:00,#N/D,
G029292,00:00:20:00,#N/D,
G029293,00:00:10:00,#N/D,
G029294,00:00:30:00,#N/D,
G029295,00:00:30:00,#N/D,
G029299,00:00:20:00,#N/D,
G029302,00:00:32:16,#N/D,
